numeroConta;codigoAgencia;dataTransacao;codigoTransacao;valor
5;100;1645142400;3;988.1
8;200;1589760000;0;478.51
1;100;1598745600;2;535.1
9;300;1606953600;0;812.31
1;200;1636329600;2;697.35
5;200;1635897600;1;240.95
6;200;1647820800;0;511.95
0;200;1594339200;2;705.82
1;300;1579910400;1;813.86
7;200;1583020800;3;491.37
8;100;1612483200;2;36.25
7;100;1597881600;2;782.52
10;300;1641340800;0;438.39
6;100;1648252800;1;705.48
6;300;1641427200;3;521.81
3;100;1646265600;1;4.16
9;200;1618790400;2;507.21
1;300;1582502400;0;366.96
10;200;1634342400;2;602.0
4;100;1632787200;2;368.99
8;300;1590537600;0;659.89
10;200;1609804800;2;954.86
10;100;1646956800;3;235.21
3;300;1625356800;3;931.31
7;100;1584835200;3;343.26
3;300;1653004800;2;529.87
4;100;1624665600;1;783.02
8;300;1579910400;2;659.54
7;300;1580256000;2;190.18
1;300;1627862400;3;421.58
1;300;1644192000;1;59.95
10;100;1620691200;1;38.04
10;300;1584489600;2;527.78
5;300;1612483200;2;294.46
6;200;1612828800;0;537.15
9;100;1606089600;1;101.34
9;300;1610496000;0;494.21
1;200;1645315200;1;531.25
6;300;1637798400;0;704.52
9;200;1643328000;3;582.56
10;300;1651449600;0;350.79
6;100;1632700800;0;351.64
9;100;1635897600;0;645.22
10;200;1628380800;1;888.38
7;200;1586044800;3;708.12
9;100;1638489600;2;267.23
3;300;1597104000;0;769.63
7;200;1589673600;3;291.71
2;200;1649462400;3;40.19
10;100;1608076800;1;234.57
4;300;1584576000;3;795.81
1;200;1622592000;2;580.67
2;300;1600905600;3;684.96
5;100;1585958400;3;769.84
8;200;1634947200;0;854.63
4;300;1617408000;1;263.15
8;100;1658966400;0;284.11
0;300;1590624000;1;256.92
6;300;1663632000;0;824.81
10;300;1587081600;2;379.82
3;300;1643846400;0;860.87
6;100;1651536000;0;772.99
5;300;1584144000;3;787.93
3;300;1604361600;2;539.07
10;100;1630972800;1;345.29
2;300;1602288000;3;722.91
7;200;1581811200;1;970.74
4;200;1580169600;3;863.79
3;300;1606089600;2;15.17
7;100;1622332800;2;808.24
6;100;1648512000;2;205.81
3;300;1655769600;0;695.3
4;100;1590105600;0;498.92
5;100;1640908800;1;433.57
5;100;1581811200;1;641.9
0;300;1578873600;3;197.3
10;200;1618185600;0;493.12
7;300;1661126400;1;110.81
5;200;1599436800;3;420.7
8;200;1582934400;1;890.66
7;200;1599523200;2;790.07
4;200;1621123200;0;395.88
9;300;1630108800;3;467.27
4;100;1600473600;3;660.65
0;300;1642118400;2;295.63
10;300;1603411200;2;380.93
10;300;1630195200;1;241.12
7;300;1622678400;2;96.88
9;200;1592438400;3;611.79
6;100;1579910400;2;95.49
0;300;1581379200;1;965.68
7;300;1650585600;3;373.81
1;100;1659571200;0;100.74
8;100;1596844800;1;152.31
10;200;1589500800;1;667.73
10;200;1604448000;2;688.62
9;200;1627257600;2;849.25
8;300;1645833600;0;38.45
2;100;1625702400;0;868.02
9;200;1618531200;0;144.21
